year,provider,mission_type,budget_billion,success_rate,country
2008,China,Manned,16.2,0.9,China
2018,Japan,Manned,29.04,0.99,Japan
2013,Israel,Manned,28.73,0.54,Israel
2010,UAE,Unmanned,37.27,0.58,UAE
2006,India,Manned,18.95,0.91,India
2011,USA,Unmanned,22.76,0.85,USA
2011,Germany,Manned,9.33,0.81,Germany
2012,India,Unmanned,6.62,0.69,India
2024,Israel,Manned,13.25,0.6,Israel
2011,Israel,Unmanned,23.76,0.66,Israel
2014,France,Unmanned,43.67,0.92,France
2007,UK,Manned,42.47,0.53,UK
2023,Russia,Unmanned,11.68,0.65,Russia
2024,China,Manned,29.52,0.73,China
2002,UAE,Manned,37.86,0.9,UAE
2020,India,Unmanned,25.79,0.61,India
2017,Russia,Unmanned,21.53,0.71,Russia
2013,USA,Manned,4.22,0.73,USA
2019,Germany,Manned,47.41,0.75,Germany
2020,India,Unmanned,35.59,0.5,India
2003,Russia,Manned,32.21,0.95,Russia
2008,China,Manned,27.87,0.57,China
2020,USA,Unmanned,47.06,0.68,USA
2015,UK,Unmanned,38.83,0.5,UK
2022,Japan,Manned,48.25,0.68,Japan
2004,India,Unmanned,6.38,0.73,India
2025,Japan,Manned,27.01,0.85,Japan
2017,Germany,Manned,2.17,0.56,Germany
2013,France,Unmanned,44.01,0.92,France
2019,UAE,Unmanned,45.31,0.87,UAE
2006,Russia,Unmanned,16.57,0.71,Russia
2025,UK,Manned,47.79,0.56,UK
2024,Japan,Unmanned,46.17,0.62,Japan
2025,India,Manned,3.83,0.65,India
2009,France,Unmanned,11.4,0.88,France
2022,Japan,Unmanned,16.89,0.56,Japan
2016,India,Unmanned,0.79,0.82,India
2022,UAE,Manned,1.51,0.92,UAE
2024,India,Unmanned,26.05,0.73,India
2011,Russia,Manned,3.08,0.64,Russia
2003,USA,Unmanned,19.78,0.88,USA
2024,Russia,Unmanned,38.2,0.97,Russia
2015,USA,Manned,24.51,0.72,USA
2009,USA,Manned,11.27,0.5,USA
2015,India,Unmanned,47.9,0.61,India
2000,Japan,Unmanned,28.94,0.71,Japan
2009,Japan,Manned,35.58,0.97,Japan
2020,USA,Unmanned,48.72,0.68,USA
2013,Russia,Manned,33.53,0.93,Russia
2024,Israel,Unmanned,23.1,0.99,Israel
2011,India,Manned,47.39,0.6,India
2006,France,Manned,23.83,0.71,France
2022,UK,Manned,45.98,0.91,UK
2020,India,Manned,42.77,0.95,India
2025,UK,Unmanned,7.59,0.98,UK
2010,ULA,Unmanned,40.67,0.63,China
2022,ULA,Manned,18.11,0.85,Germany
