provider,first_year,incumbent_flag,prior_mean_quality,prior_alpha,prior_beta,prior_strength,notes
China,2000,True,0.7488157894736842,7.488157894736842,2.511842105263158,10,Derived from Global Space Exploration Dataset
France,2000,True,0.7544078947368421,7.544078947368421,2.455921052631579,10,Derived from Global Space Exploration Dataset
Germany,2000,True,0.7624489795918368,7.624489795918368,2.3755102040816323,10,Derived from Global Space Exploration Dataset
India,2000,True,0.7559581881533102,7.559581881533102,2.4404181184668983,10,Derived from Global Space Exploration Dataset
Israel,2000,True,0.7412582781456954,7.412582781456955,2.5874172185430453,10,Derived from Global Space Exploration Dataset
Japan,2000,True,0.7438790035587188,7.438790035587188,2.5612099644128117,10,Derived from Global Space Exploration Dataset
Russia,2000,True,0.752605633802817,7.5260563380281695,2.4739436619718305,10,Derived from Global Space Exploration Dataset
UAE,2000,True,0.747037037037037,7.470370370370371,2.5296296296296292,10,Derived from Global Space Exploration Dataset
UK,2000,True,0.7477635782747604,7.477635782747604,2.522364217252396,10,Derived from Global Space Exploration Dataset
ULA,2000,True,0.783764705882353,7.8376470588235305,2.1623529411764695,10,Derived from Global Space Exploration Dataset
USA,2000,True,0.7370469798657717,7.370469798657718,2.6295302013422828,10,Derived from Global Space Exploration Dataset
SpaceX,2010,True,0.95,9.5,0.5000000000000004,10,Derived from Global Space Exploration Dataset
