winner,allocation,payment,scores,probabilities,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_first_year,winner_is_incumbent
China,{'p_3_0': 'SpaceX'},12096893.771839703,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 0.7053907328430233, 'France': 1.189303185135549e-05, 'Germany': 2.207475883803472e-13, 'India': 9.799562331222569e-11, 'Israel': 0.24305653374865582, 'Japan': 6.406634750718179e-09, 'Russia': 1.7455751734411634e-09, 'UAE': 0.0009002538742971272, 'UK': 1.3716066438932944e-12, 'ULA': 0.050640551117202885, 'USA': 2.2908097575994226e-08, 'SpaceX': 4.225073875297404e-09}",3,2014,0.8317777741128782,True,SpaceX,0.16623529411764681,1,0.16709119245462856,2000,True
UAE,"{'p_4_0': 'SpaceX', 'p_4_1': 'SpaceX'}",27713050.81810866,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 2.391117735886914e-28, 'France': 3.163912388274093e-30, 'Germany': 7.0357106982443344e-34, 'India': 3.404044612064003e-24, 'Israel': 3.282913393649567e-29, 'Japan': 9.139298658488127e-30, 'Russia': 2.315423164248421e-24, 'UAE': 1.0, 'UK': 1.3819574185624535e-34, 'ULA': 2.511837477032037e-24, 'USA': 8.515081285204321e-25, 'SpaceX': 1.4044270368382188e-31}",4,2019,0.8523393418488259,True,SpaceX,0.16623529411764681,1,0.14652962471868092,2000,True
Germany,"{'p_5_2': 'SpaceX', 'p_5_1': 'SpaceX'}",28050143.397916786,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 7.65458617129128e-14, 'France': 1.375362904378208e-17, 'Germany': 0.9999895623554279, 'India': 9.321377957518106e-17, 'Israel': 1.2187096204151186e-12, 'Japan': 1.0436158856019801e-05, 'Russia': 3.2332306823470056e-16, 'UAE': 4.352199783778045e-20, 'UK': 1.465066627298144e-09, 'ULA': 1.0099445956415567e-15, 'USA': 1.9352541893355565e-11, 'SpaceX': 2.4353635627504162e-16}",5,2024,0.6856384902751999,True,SpaceX,0.16623529411764681,1,0.31323047629230694,2000,True
UK,{'p_9_0': 'SpaceX'},1913908.42385334,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 0.00032490406827363576, 'France': 7.545704912021193e-13, 'Germany': 1.540472905658679e-10, 'India': 5.84904188057815e-11, 'Israel': 9.126321321218384e-13, 'Japan': 6.854163706664224e-08, 'Russia': 6.676992681485692e-12, 'UAE': 1.5503147209148798e-13, 'UK': 0.9996747181592835, 'ULA': 5.136670977880653e-13, 'USA': 1.9451213316682896e-07, 'SpaceX': 1.1449712212207301e-07}",9,2013,0.8076597222440114,True,SpaceX,0.16595547309833014,1,0.1912092443234954,2000,True
UK,"{'p_12_1': 'SpaceX', 'p_12_0': 'SpaceX'}",3276121.882296587,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 1.1441693121814097e-08, 'France': 0.00244981148633149, 'Germany': 6.082792554188709e-11, 'India': 0.0049852043139874, 'Israel': 3.5373223064051284e-07, 'Japan': 4.438934094094292e-05, 'Russia': 9.770736601056682e-08, 'UAE': 0.27242305571916103, 'UK': 0.7200945981170308, 'ULA': 3.3042625405263392e-09, 'USA': 1.77423232177094e-09, 'SpaceX': 2.4730019359059778e-06}",12,2012,0.8076597222440114,True,SpaceX,0.16595547309833014,1,0.1912092443234954,2000,True
ULA,{'p_14_0': 'SpaceX'},25536028.70085399,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7898029818956337, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 5.669109380206105e-07, 'France': 3.224919244230355e-16, 'Germany': 5.723285350341026e-06, 'India': 1.2023357355626737e-18, 'Israel': 2.216323062320534e-13, 'Japan': 3.594773725559424e-13, 'Russia': 6.658530842204533e-19, 'UAE': 3.001054566149109e-15, 'UK': 3.349673528212123e-15, 'ULA': 0.9529334236905802, 'USA': 3.906103656192054e-10, 'SpaceX': 0.047060285721933305}",14,2023,0.722306729804949,True,SpaceX,0.16019701810436626,1,0.27656223676255776,2000,True
SpaceX,{'p_16_0': 'SpaceX'},2816905.2345157852,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7898029818956337, 'ULA': 0.8034224598930483, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 4.757007234938452e-08, 'France': 3.1712178927934576e-17, 'Germany': 1.6749359822915097e-05, 'India': 9.048474603561914e-10, 'Israel': 1.0977307291352195e-12, 'Japan': 3.958106205901335e-17, 'Russia': 1.399437271799323e-19, 'UAE': 3.797176491975742e-15, 'UK': 5.7583336752695534e-08, 'ULA': 4.642352475118068e-13, 'USA': 2.901307117406411e-15, 'SpaceX': 0.9999831445803518}",16,2021,0.9988689665675068,True,SpaceX,0.14657754010695168,1,0.0,2010,False
UK,{'p_18_0': 'SpaceX'},9598636.73135746,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.7898029818956337, 'ULA': 0.8034224598930483, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 3.707630092183525e-06, 'France': 4.141507247595303e-09, 'Germany': 6.332059816355663e-10, 'India': 4.834855884451371e-10, 'Israel': 2.3112681596373694e-08, 'Japan': 9.763110116685338e-09, 'Russia': 0.004643174333694253, 'UAE': 6.844373304868237e-08, 'UK': 0.9953528503435458, 'ULA': 1.4565669345469358e-07, 'USA': 1.527654521874109e-08, 'SpaceX': 1.817054405922761e-10}",18,2015,0.8076597222440114,True,SpaceX,0.1511229946524063,1,0.1912092443234954,2000,True
China,{'p_23_0': 'SpaceX'},2677611.987725613,"{'China': 0.7716507177033493, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.8059719832882772, 'ULA': 0.8034224598930483, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 0.9999992912264547, 'France': 1.376073039593501e-16, 'Germany': 2.55667485803393e-11, 'India': 3.871671293979342e-19, 'Israel': 8.174950636087475e-15, 'Japan': 1.1051492292358086e-14, 'Russia': 1.194810534780048e-21, 'UAE': 9.462182157137094e-15, 'UK': 6.164107606654699e-14, 'ULA': 6.19071642659968e-14, 'USA': 4.469114349666024e-16, 'SpaceX': 7.0874782581439e-07}",23,2013,0.8317777741128782,True,SpaceX,0.14857347125717735,1,0.16709119245462856,2000,True
SpaceX,"{'p_24_1': 'SpaceX', 'p_24_0': 'SpaceX'}",32854504.637759995,"{'China': 0.7906798245614035, 'France': 0.7544078947368421, 'Germany': 0.7840445269016698, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.8059719832882772, 'ULA': 0.8034224598930483, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 8.529426191123422e-11, 'France': 4.463480852938509e-06, 'Germany': 4.114556971963158e-08, 'India': 1.4164101875314676e-11, 'Israel': 1.2851090486213613e-09, 'Japan': 2.7459305341621334e-08, 'Russia': 3.746252581789078e-09, 'UAE': 3.5635477278846558e-09, 'UK': 0.24422915681287133, 'ULA': 7.255039689560457e-05, 'USA': 0.003341484721646947, 'SpaceX': 0.7523522672884904}",24,2017,0.9988689665675068,True,SpaceX,0.14857347125717735,1,0.0,2010,False
