winner,allocation,payment,scores,probabilities,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_is_incumbent
UK,{'p_1_0': 'SpaceX'},1.2555228083512755e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.7477635782747604, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 0.007423590950419321, 'France': 0.02719487451833688, 'Germany': 4.3606130339789406e-05, 'India': 9.46259023147226e-06, 'Israel': 0.04005286143960711, 'Japan': 2.2743849680028155e-05, 'Russia': 1.4903598364081583e-05, 'UAE': 0.004031392532808557, 'UK': 0.9189595819576795, 'ULA': 0.0007243638343596054, 'USA': 0.0014967243303857637, 'SpaceX': 2.5894267787932877e-05}",1,2019,0.8740152822174178,True,SpaceX,0.16623529411764681,1,0.1114487063302344,True
UAE,{'p_3_0': 'SpaceX'},7.250259782169263e+17,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.747037037037037, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 3.837787124007567e-13, 'France': 1.4342883764266973e-19, 'Germany': 2.5122143020266247e-12, 'India': 1.4603228247954724e-16, 'Israel': 1.9893354493633197e-17, 'Japan': 2.2756800862981144e-14, 'Russia': 0.3559583584667327, 'UAE': 0.06717576356127802, 'UK': 2.425915182377346e-05, 'ULA': 4.671865105819743e-15, 'USA': 0.5768416188172159, 'SpaceX': 2.610607974498888e-14}",3,2021,0.8170985992363786,True,SpaceX,0.16623529411764681,1,0.16836538931127354,True
SpaceX,{'p_4_0': 'SpaceX'},3248145997957.8506,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.95}","{'China': 1.1541222002753134e-12, 'France': 3.111108729222002e-08, 'Germany': 1.7728136266727198e-06, 'India': 2.8863665662013576e-07, 'Israel': 7.828522834241859e-18, 'Japan': 7.053186088075385e-09, 'Russia': 6.20327660119246e-17, 'UAE': 9.184155773216426e-17, 'UK': 1.2656652214567989e-14, 'ULA': 5.766998383957183e-21, 'USA': 8.959516253301323e-13, 'SpaceX': 0.9999979003833804}",4,2012,0.9854639885476522,True,SpaceX,0.16623529411764681,1,0.0,True
Russia,{'p_7_0': 'SpaceX'},3.3143304694433224e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.752605633802817, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 6.194511516106243e-13, 'France': 1.3566071061661647e-10, 'Germany': 3.187577040069128e-26, 'India': 7.90229579599716e-16, 'Israel': 3.923826081743268e-20, 'Japan': 3.8562208466876096e-13, 'Russia': 0.9999999998633092, 'UAE': 5.935818126694064e-25, 'UK': 2.2153820186019205e-20, 'ULA': 3.9672648098680844e-20, 'USA': 9.292704052760301e-22, 'SpaceX': 2.4259434558682864e-14}",7,2020,0.9648562412942798,True,SpaceX,0.17078074866310144,1,0.020607747253372333,True
USA,{'p_13_0': 'SpaceX'},2.212292239772598e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.7750960307298336, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7370469798657717, 'SpaceX': 0.9545454545454546}","{'China': 2.4990792543487813e-07, 'France': 9.431150959622121e-14, 'Germany': 2.408732810194755e-06, 'India': 9.000009428959831e-07, 'Israel': 4.5432198155997196e-12, 'Japan': 2.1491036730022905e-10, 'Russia': 2.814452862834856e-09, 'UAE': 0.024206978058725365, 'UK': 2.3662510308862275e-07, 'ULA': 4.583187898643283e-14, 'USA': 0.975789223634426, 'SpaceX': 6.020375875057287e-12}",13,2023,0.9543956361902969,True,SpaceX,0.17078074866310144,1,0.031068352357355278,True
Russia,{'p_19_0': 'SpaceX'},3527515031797.494,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.7750960307298336, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7609517998779743, 'SpaceX': 0.9545454545454546}","{'China': 0.010882979713295066, 'France': 6.071541129603858e-14, 'Germany': 3.2103190396638115e-10, 'India': 4.964692054843079e-09, 'Israel': 8.859704421199028e-12, 'Japan': 2.425748826051622e-07, 'Russia': 0.9890054553864108, 'UAE': 5.229484077695461e-06, 'UK': 8.776529656749502e-05, 'ULA': 5.145191446451282e-09, 'USA': 2.1302650244420247e-10, 'SpaceX': 1.831689190412027e-05}",19,2012,0.9648562412942798,True,SpaceX,0.17078074866310144,1,0.020607747253372333,True
Israel,{'p_23_0': 'SpaceX'},2.065828764902171e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.7412582781456954, 'Japan': 0.7438790035587188, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7609517998779743, 'SpaceX': 0.9545454545454546}","{'China': 7.662441799833576e-05, 'France': 4.790700744393548e-08, 'Germany': 5.790188843218648e-09, 'India': 5.611048888655876e-10, 'Israel': 0.990326985431879, 'Japan': 0.0005299969811558862, 'Russia': 1.575018476412874e-10, 'UAE': 4.437730968594473e-09, 'UK': 8.054605862045378e-07, 'ULA': 5.314190609913259e-12, 'USA': 0.009026831944517547, 'SpaceX': 3.8696905014847836e-05}",23,2021,0.7913958229561631,False,SpaceX,0.16070742637644042,1,0.1940681655914891,True
India,{'p_25_0': 'SpaceX'},3.468681724776965e+17,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7559581881533102, 'Israel': 0.6738711619506322, 'Japan': 0.7438790035587188, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7609517998779743, 'SpaceX': 0.9545454545454546}","{'China': 3.58827541574406e-36, 'France': 4.431290851032141e-37, 'Germany': 2.2676040380879845e-43, 'India': 1.0, 'Israel': 8.693948608325582e-41, 'Japan': 7.552945467592402e-39, 'Russia': 6.727723089640318e-45, 'UAE': 5.321303700533633e-41, 'UK': 2.3339592930629273e-47, 'ULA': 6.6676481658430535e-46, 'USA': 1.0938145684279833e-36, 'SpaceX': 1.390964633245783e-46}",25,2020,0.85145063362918,True,SpaceX,0.16070742637644042,1,0.1340133549184721,True
France,"{'p_27_1': 'SpaceX', 'p_27_0': 'SpaceX'}",4.4081948006733804e+18,"{'China': 0.7488157894736842, 'France': 0.7544078947368421, 'Germany': 0.7624489795918368, 'India': 0.7781438074121002, 'Israel': 0.6738711619506322, 'Japan': 0.7438790035587188, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7609517998779743, 'SpaceX': 0.9545454545454546}","{'China': 0.4728936552679561, 'France': 0.35174925258078754, 'Germany': 8.405172057360639e-08, 'India': 4.5553844067340385e-08, 'Israel': 2.5660678705627193e-16, 'Japan': 0.0030331734433510253, 'Russia': 0.057816755795574236, 'UAE': 8.594787667002437e-11, 'UK': 2.8355332569869e-09, 'ULA': 0.1120109483804378, 'USA': 1.4677320298287012e-05, 'SpaceX': 0.0024814046845486482}",27,2015,0.6948168424215722,False,SpaceX,0.16070742637644042,1,0.29064714612608,True
India,"{'p_28_1': 'SpaceX', 'p_28_0': 'SpaceX'}",1.5488308723559332e+18,"{'China': 0.7488157894736842, 'France': 0.6858253588516746, 'Germany': 0.7624489795918368, 'India': 0.7781438074121002, 'Israel': 0.6738711619506322, 'Japan': 0.7438790035587188, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7609517998779743, 'SpaceX': 0.9545454545454546}","{'China': 2.1854595829434007e-05, 'France': 2.8903059083994833e-13, 'Germany': 3.6778239343779907e-10, 'India': 0.999931395995514, 'Israel': 1.6457604894107504e-10, 'Japan': 2.148251656065823e-11, 'Russia': 3.5908883793329177e-10, 'UAE': 7.931679299793098e-06, 'UK': 3.293414224653668e-16, 'ULA': 1.428805729186111e-05, 'USA': 2.4507762091918977e-05, 'SpaceX': 2.0996753791477347e-08}",28,2015,0.85145063362918,True,SpaceX,0.16070742637644042,1,0.1340133549184721,True
France,{'p_31_0': 'SpaceX'},1.0047619455776083e+18,"{'China': 0.7488157894736842, 'France': 0.6858253588516746, 'Germany': 0.7624489795918368, 'India': 0.7966318234610918, 'Israel': 0.6738711619506322, 'Japan': 0.7438790035587188, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7609517998779743, 'SpaceX': 0.9545454545454546}","{'China': 1.0359784776791395e-11, 'France': 0.9192183117815783, 'Germany': 3.3639966452876574e-12, 'India': 2.0466227033681088e-09, 'Israel': 1.5096597805575187e-12, 'Japan': 0.0807647951470782, 'Russia': 1.7746039759139577e-07, 'UAE': 2.1417161641462203e-13, 'UK': 3.5994938672058614e-13, 'ULA': 1.6712436586553566e-05, 'USA': 9.81407443273342e-12, 'SpaceX': 1.102115561314694e-09}",31,2020,0.6948168424215722,True,SpaceX,0.15791363108436274,1,0.29064714612608,True
Russia,{},0.0,"{'China': 0.7488157894736842, 'France': 0.7120065789473684, 'Germany': 0.7624489795918368, 'India': 0.7966318234610918, 'Israel': 0.6738711619506322, 'Japan': 0.7438790035587188, 'Russia': 0.7938380281690142, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7609517998779743, 'SpaceX': 0.9545454545454546}","{'China': 3.1368013949216144e-08, 'France': 4.290000158630581e-05, 'Germany': 0.003559567643367942, 'India': 0.002357404813904238, 'Israel': 5.1457302754300316e-11, 'Japan': 0.00011544502201914259, 'Russia': 0.9939214057739157, 'UAE': 1.4833850722416967e-06, 'UK': 3.7895855845683374e-11, 'ULA': 1.7489104966855235e-06, 'USA': 8.116143091387108e-09, 'SpaceX': 4.876127528347333e-09}",34,2025,0.9648562412942798,True,SpaceX,0.15791363108436274,1,0.020607747253372333,True
China,"{'p_36_0': 'SpaceX', 'p_36_2': 'SpaceX', 'p_36_1': 'SpaceX'}",9509095034488.504,"{'China': 0.7488157894736842, 'France': 0.7120065789473684, 'Germany': 0.7624489795918368, 'India': 0.7966318234610918, 'Israel': 0.6738711619506322, 'Japan': 0.7438790035587188, 'Russia': 0.8096966413867823, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7609517998779743, 'SpaceX': 0.9545454545454546}","{'China': 0.9999988159548174, 'France': 1.8158315045189092e-11, 'Germany': 2.5978610108930873e-13, 'India': 4.475623450334109e-11, 'Israel': 2.9625137130130714e-13, 'Japan': 6.424083109338233e-12, 'Russia': 1.9981625200332675e-08, 'UAE': 3.272892118456178e-15, 'UK': 2.8094391377408813e-08, 'ULA': 1.4170336653935248e-12, 'USA': 1.062961179003506e-06, 'SpaceX': 7.293667190692977e-08}",36,2013,0.7155727441254911,True,SpaceX,0.14484881315867226,1,0.26989124442216106,True
SpaceX,{'p_41_0': 'SpaceX'},1.4439738508448284e+18,"{'China': 0.7716507177033493, 'France': 0.7120065789473684, 'Germany': 0.7624489795918368, 'India': 0.7966318234610918, 'Israel': 0.6738711619506322, 'Japan': 0.7438790035587188, 'Russia': 0.8096966413867823, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7609517998779743, 'SpaceX': 0.9545454545454546}","{'China': 2.0768682347174482e-14, 'France': 1.1718623053693711e-05, 'Germany': 8.469700793483603e-19, 'India': 0.0023566126976578006, 'Israel': 6.247681947682046e-14, 'Japan': 2.6587617493817646e-09, 'Russia': 7.985052006456233e-10, 'UAE': 1.2518815198381726e-11, 'UK': 6.853695396137656e-09, 'ULA': 7.29742090335663e-19, 'USA': 5.6572479533581426e-08, 'SpaceX': 0.9976316017832446}",41,2016,0.9854639885476522,True,SpaceX,0.14484881315867226,1,0.0,True
Russia,"{'p_42_0': 'SpaceX', 'p_42_1': 'SpaceX', 'p_42_5': 'SpaceX'}",2.989610375717402e+18,"{'China': 0.7716507177033493, 'France': 0.7120065789473684, 'Germany': 0.7624489795918368, 'India': 0.7966318234610918, 'Israel': 0.6738711619506322, 'Japan': 0.7438790035587188, 'Russia': 0.8096966413867823, 'UAE': 0.7700336700336702, 'UK': 0.770694162067964, 'ULA': 0.7837647058823531, 'USA': 0.7609517998779743, 'SpaceX': 0.9583333333333334}","{'China': 1.3740995046736154e-17, 'France': 5.733109116974424e-30, 'Germany': 2.3172596579931358e-25, 'India': 5.785938003336644e-17, 'Israel': 3.4919729404999244e-22, 'Japan': 2.7552217123458584e-26, 'Russia': 0.999999999978766, 'UAE': 4.990082249629367e-21, 'UK': 6.708247126241576e-24, 'ULA': 2.1234030897460004e-11, 'USA': 2.4386943261798167e-20, 'SpaceX': 1.5606290135702936e-19}",42,2016,0.9648562412942798,True,SpaceX,0.14863669194655105,1,0.020607747253372333,True
