winner,allocation,payment,scores,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_is_incumbent
SpaceX,"{'p_1_2': 'SpaceX', 'p_1_1': 'SpaceX'}",4.214444811799603e+18,"{'China': 0.6966244963664098, 'France': 0.575538597456634, 'Germany': 0.6696646208242205, 'India': 0.7213064663142137, 'Israel': 0.6781725169436913, 'Japan': 0.5903638008013787, 'Russia': 0.6691759060280565, 'UAE': 0.8450644872980295, 'UK': 0.8150116957582139, 'ULA': 0.6433396218697132, 'USA': 0.7534756519314919, 'SpaceX': 0.9474179833413123}",1,2020,0.9474179833413123,True,SpaceX,0.10235349604328281,1,0.0,True
SpaceX,{'p_2_0': 'SpaceX'},2.269249391912533e+18,"{'China': 0.7760925389396158, 'France': 0.7243098329051215, 'Germany': 0.8636294728902517, 'India': 0.6035296340168297, 'Israel': 0.8378402211294949, 'Japan': 0.9221207231198812, 'Russia': 0.6796411753620517, 'UAE': 0.6500422353321226, 'UK': 0.8327244780124031, 'ULA': 0.7873127018006704, 'USA': 0.7080872382180305, 'SpaceX': 0.9984335437413878}",2,2017,0.9474179833413123,True,SpaceX,0.07631282062150657,1,0.0,True
SpaceX,{'p_3_0': 'SpaceX'},1.76173662611085e+18,"{'China': 0.8324117909383527, 'France': 0.859136367542012, 'Germany': 0.5893910602033844, 'India': 0.8617480352374816, 'Israel': 0.7350320492314186, 'Japan': 0.9231590064868541, 'Russia': 0.6836039521049432, 'UAE': 0.8954543172395473, 'UK': 0.6529723681830024, 'ULA': 0.6449274042081798, 'USA': 0.821978911703151, 'SpaceX': 0.9802263777129456}",3,2016,0.9474179833413123,True,SpaceX,0.05706737122609151,1,0.0,True
SpaceX,"{'p_7_1': 'SpaceX', 'p_7_0': 'SpaceX'}",3.676744466834701e+18,"{'China': 0.575417615676717, 'France': 0.9316745413587385, 'Germany': 0.7618515316696607, 'India': 0.8572109981662231, 'Israel': 0.7927198045956876, 'Japan': 0.8316285646564533, 'Russia': 0.7834054871393693, 'UAE': 0.43674916106970435, 'UK': 0.5900992929023409, 'ULA': 0.7224080983840528, 'USA': 0.9057135052165797, 'SpaceX': 0.9983310414385466}",7,2017,0.9474179833413123,True,SpaceX,0.06665650007980806,1,0.0,True
Germany,{'p_11_0': 'Germany'},3.8390131226815877e+18,"{'China': 0.5834191928602834, 'France': 0.7306326924061916, 'Germany': 0.9629417104297252, 'India': 0.828741340267144, 'Israel': 0.809993558972836, 'Japan': 0.8271665626339069, 'Russia': 0.8196097165694731, 'UAE': 0.7264524123699434, 'UK': 0.46722100455301196, 'ULA': 0.9187127288483552, 'USA': 0.8533399213670424, 'SpaceX': 0.9467152380018274}",11,2018,0.6696646208242205,True,SpaceX,0.016226472427897765,3,0.2777533625170918,True
China,{'p_14_1': 'China'},2.5995955301572593e+18,"{'China': 0.9296478613972421, 'France': 0.330458827066009, 'Germany': 0.36393887283925513, 'India': 0.522306324232408, 'Israel': 0.6844607385972724, 'Japan': 0.7812823677367586, 'Russia': 0.7293238190291103, 'UAE': 0.7686125681549919, 'UK': 0.7244132872571012, 'ULA': 0.9283915138806881, 'USA': 0.6268361983959378, 'SpaceX': 0.9276657456192209}",14,2024,0.6966244963664098,False,SpaceX,0.0012563475165540128,3,0.25079348697490256,True
India,{'p_15_0': 'India'},2.7588474906675635e+18,"{'China': 0.5548202346609731, 'France': 0.7841892789939535, 'Germany': 0.8852955500639771, 'India': 0.9473548585829985, 'Israel': 0.7695474891803507, 'Japan': 0.7973162588555587, 'Russia': 0.6701388863601413, 'UAE': 0.7784765281071568, 'UK': 0.6465377296588414, 'ULA': 0.8365657844362595, 'USA': 0.7197506723784661, 'SpaceX': 0.9333964715626186}",15,2018,0.7213064663142137,False,SpaceX,0.013958387020379881,2,0.22611151702709864,True
SpaceX,"{'p_18_0': 'SpaceX', 'p_18_1': 'SpaceX'}",3.792938279658296e+18,"{'China': 0.8417299358716778, 'France': 0.628300482520174, 'Germany': 0.8021375318268107, 'India': 0.6629334440679296, 'Israel': 0.7570750261698833, 'Japan': 0.7855730037003489, 'Russia': 0.8043476090413322, 'UAE': 0.8942100762453832, 'UK': 0.9093788641090529, 'ULA': 0.7016348842884746, 'USA': 0.5451876845582908, 'SpaceX': 0.971952269979751}",18,2022,0.9474179833413123,True,SpaceX,0.06257340587069815,1,0.0,True
Russia,{'p_24_0': 'Russia'},2.7657689027931587e+18,"{'China': 0.6867216910412479, 'France': 0.7981832992721538, 'Germany': 0.8117476107780301, 'India': 0.795296249301452, 'Israel': 0.8163660853014856, 'Japan': 0.6337937674281343, 'Russia': 0.9507611283646697, 'UAE': 0.7885357047978713, 'UK': 0.9014676094407238, 'ULA': 0.7872317452265643, 'USA': 0.82334528217613, 'SpaceX': 0.9199199644768067}",24,2023,0.6691759060280565,True,SpaceX,0.030841163887863066,2,0.2782420773132558,True
SpaceX,"{'p_26_1': 'SpaceX', 'p_26_0': 'SpaceX'}",5174486835574.88,"{'China': 0.8108068816370076, 'France': 0.7505609280137272, 'Germany': 0.8549924924195444, 'India': 0.6554542853018266, 'Israel': 0.5037676946136054, 'Japan': 0.6317081166990487, 'Russia': 0.7771427073411087, 'UAE': 0.7995820193958647, 'UK': 0.5995662876229558, 'ULA': 0.8524579890201108, 'USA': 0.6712589192417705, 'SpaceX': 0.9817989512621094}",26,2012,0.9474179833413123,True,SpaceX,0.12680645884256492,1,0.0,True
SpaceX,{'p_28_0': 'SpaceX'},4.123367579659889e+18,"{'China': 0.7062865389762915, 'France': 0.8274599223446011, 'Germany': 0.7170147471749199, 'India': 0.7142361844716208, 'Israel': 0.8921321907307375, 'Japan': 0.8963873849767341, 'Russia': 0.9238790108476231, 'UAE': 0.6135542829478202, 'UK': 0.7396688878782105, 'ULA': 0.9270724279974276, 'USA': 0.6852683064156109, 'SpaceX': 0.99135132932566}",28,2021,0.9474179833413123,True,SpaceX,0.06427890132823233,1,0.0,True
SpaceX,{'p_30_0': 'SpaceX'},3.5121026111919734e+18,"{'China': 0.7182431829685137, 'France': 0.7249664247212397, 'Germany': 0.8729156721439674, 'India': 0.7468879785269403, 'Israel': 0.6862369625181342, 'Japan': 0.7518674433294693, 'Russia': 0.8672228524722371, 'UAE': 0.738982401948525, 'UK': 0.7543459595609107, 'ULA': 0.8634157403348912, 'USA': 0.922046369095367, 'SpaceX': 0.9756746562360734}",30,2017,0.9474179833413123,True,SpaceX,0.05362828714070644,1,0.0,True
SpaceX,"{'p_44_1': 'SpaceX', 'p_44_0': 'SpaceX'}",30748540585736.277,"{'China': 0.8051063354221526, 'France': 0.6586578522494416, 'Germany': 0.6902966174560979, 'India': 0.3688941957755062, 'Israel': 0.8791828945979737, 'Japan': 0.6900134339619214, 'Russia': 0.6796733823645246, 'UAE': 0.611856241014397, 'UK': 0.7808790823606304, 'ULA': 0.8184560762119315, 'USA': 0.8597151553277481, 'SpaceX': 0.9830843100632477}",44,2013,0.9474179833413123,True,SpaceX,0.10390141546527398,1,0.0,True
SpaceX,"{'p_47_0': 'SpaceX', 'p_47_1': 'SpaceX'}",6276095321679.254,"{'China': 0.7725545037499091, 'France': 0.46672381404917324, 'Germany': 0.8149580486324137, 'India': 0.6131435851258561, 'Israel': 0.3534284035502124, 'Japan': 0.6557210054219119, 'Russia': 0.679478044190971, 'UAE': 0.6995697194713147, 'UK': 0.8858048058564902, 'ULA': 0.9690332685291446, 'USA': 0.6927938588611146, 'SpaceX': 0.9772994283319443}",47,2012,0.9474179833413123,True,SpaceX,0.008266159802799655,2,0.0,True
SpaceX,{'p_48_0': 'SpaceX'},9.997919926472955e+17,"{'China': 0.8206997177332136, 'France': 0.5532383226805972, 'Germany': 0.7329653777142147, 'India': 0.8226884616885305, 'Israel': 0.8519720328963353, 'Japan': 0.6675326260366066, 'Russia': 0.9642533738278403, 'UAE': 0.5360754318832864, 'UK': 0.5333278854373857, 'ULA': 0.7734419478723759, 'USA': 0.8687456016796995, 'SpaceX': 0.9939601480544396}",48,2014,0.9474179833413123,True,SpaceX,0.029706774226599286,2,0.0,True
SpaceX,"{'p_51_0': 'SpaceX', 'p_51_1': 'SpaceX'}",2.03223476783629e+18,"{'China': 0.6751678454320554, 'France': 0.7182822154684259, 'Germany': 0.9187342077533228, 'India': 0.6703943143318462, 'Israel': 0.6833707201091388, 'Japan': 0.4688112356387825, 'Russia': 0.7100460304362143, 'UAE': 0.8856990308709849, 'UK': 0.8771952231574329, 'ULA': 0.9412380889142589, 'USA': 0.6509622549198321, 'SpaceX': 0.999962405419804}",51,2015,0.9474179833413123,True,SpaceX,0.058724316505545104,1,0.0,True
SpaceX,"{'p_52_0': 'SpaceX', 'p_52_1': 'SpaceX'}",2.8750226696251617e+18,"{'China': 0.8406377459295462, 'France': 0.8369891545614753, 'Germany': 0.907937192904326, 'India': 0.7100447450942696, 'Israel': 0.8514631801193386, 'Japan': 0.8814783525239573, 'Russia': 0.6767651230508385, 'UAE': 0.4540245048002038, 'UK': 0.8982200286550789, 'ULA': 0.6700015821178901, 'USA': 0.7838128542485351, 'SpaceX': 0.9867906167012025}",52,2016,0.9474179833413123,True,SpaceX,0.07885342379687654,1,0.0,True
SpaceX,{'p_60_0': 'SpaceX'},9.857191898028285e+17,"{'China': 0.6902471205315911, 'France': 0.8419683686000973, 'Germany': 0.9356399263685254, 'India': 0.5585861096588618, 'Israel': 0.8960671265032742, 'Japan': 0.7484063504947308, 'Russia': 0.6989692972355405, 'UAE': 0.8435657368704703, 'UK': 0.9373407553781749, 'ULA': 0.6615877087076903, 'USA': 0.732801448855139, 'SpaceX': 0.9958503710176403}",60,2015,0.9474179833413123,True,SpaceX,0.05850961563946544,1,0.0,True
SpaceX,{'p_61_0': 'SpaceX'},1.658234995875681e+18,"{'China': 0.7696052137701521, 'France': 0.75159819025916, 'Germany': 0.7365648087315859, 'India': 0.5122364364610044, 'Israel': 0.722862327748946, 'Japan': 0.8250324941164331, 'Russia': 0.9152669506612824, 'UAE': 0.7755154536791447, 'UK': 0.6482305140501969, 'ULA': 0.8404707278672456, 'USA': 0.7365867242121774, 'SpaceX': 0.9986312047642897}",61,2022,0.9474179833413123,True,SpaceX,0.0833642541030073,1,0.0,True
SpaceX,"{'p_66_4': 'SpaceX', 'p_66_3': 'SpaceX'}",3.7101134637861683e+18,"{'China': 0.6233888580576497, 'France': 0.7110735987081208, 'Germany': 0.7696601489367627, 'India': 0.7067065879124221, 'Israel': 0.7411256464381938, 'Japan': 0.796949895064454, 'Russia': 0.5813054578891729, 'UAE': 0.7196220787947439, 'UK': 0.7446716113421418, 'ULA': 0.961110173332326, 'USA': 0.85886163738481, 'SpaceX': 0.968139606052117}",66,2021,0.9474179833413123,True,SpaceX,0.007029432719791062,2,0.0,True
SpaceX,{'p_67_0': 'SpaceX'},3204371409411.4927,"{'China': 0.8791744992230757, 'France': 0.8006869830622619, 'Germany': 0.8711171202890596, 'India': 0.8255708761539748, 'Israel': 0.9350148158231261, 'Japan': 0.7647430371989851, 'Russia': 0.9325715938757538, 'UAE': 0.6286873333585019, 'UK': 0.8657365204357721, 'ULA': 0.8297924966110053, 'USA': 0.7996839865040876, 'SpaceX': 0.9806999524183934}",67,2012,0.9474179833413123,True,SpaceX,0.045685136595267295,3,0.0,True
SpaceX,{'p_74_0': 'SpaceX'},2.375169302548687e+18,"{'China': 0.8663479984489973, 'France': 0.8641474258833358, 'Germany': 0.8408701358670522, 'India': 0.67785798515569, 'Israel': 0.9011211567304593, 'Japan': 0.6111915165247335, 'Russia': 0.8244051086343002, 'UAE': 0.7363376107899969, 'UK': 0.5900164425224738, 'ULA': 0.824355266810554, 'USA': 0.844658370631002, 'SpaceX': 0.9922661750623829}",74,2017,0.9474179833413123,True,SpaceX,0.09114501833192357,1,0.0,True
SpaceX,"{'p_77_1': 'SpaceX', 'p_77_0': 'SpaceX'}",2.506414520852542e+18,"{'China': 0.6902352023627834, 'France': 0.8169865675816926, 'Germany': 0.8840972788534861, 'India': 0.8103616455834899, 'Israel': 0.8502386363946937, 'Japan': 0.8848372793879647, 'Russia': 0.7584378875058111, 'UAE': 0.9131121529215563, 'UK': 0.8641794052963295, 'ULA': 0.8505226186614898, 'USA': 0.6401955052968754, 'SpaceX': 0.9836839938310165}",77,2024,0.9474179833413123,True,SpaceX,0.07057184090946012,1,0.0,True
SpaceX,{'p_80_0': 'SpaceX'},8.642246466371739e+17,"{'China': 0.8241939033172497, 'France': 0.8472366334776271, 'Germany': 0.7793215214368628, 'India': 0.7904171580901442, 'Israel': 0.7869991602827263, 'Japan': 0.7546198913431048, 'Russia': 0.6653870038005891, 'UAE': 0.709348165066738, 'UK': 0.7674891142510789, 'ULA': 0.700140950338254, 'USA': 0.836766254320076, 'SpaceX': 0.9864472521552088}",80,2014,0.9474179833413123,True,SpaceX,0.13921061867758167,1,0.0,True
