winner,allocation,payment,scores,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_first_year,winner_is_incumbent
UAE,{'p_1_0': 'UAE'},20160087.10060719,"{'China': 0.8134500297051748, 'France': 0.8566108315409471, 'Germany': 0.7067213120145018, 'India': 0.6198418265106778, 'Israel': 0.6470354920782665, 'Japan': 0.8547897053739497, 'Russia': 0.7572762560333781, 'UAE': 0.8683262166620097, 'UK': 0.7277442627496793, 'ULA': 0.8242571761344814, 'USA': 0.7367603682209584, 'SpaceX': 0.8220741857983254}",1,2018,0.8683262166620097,True,UAE,0.011715385121062627,3,0.0,2000,True
SpaceX,{'p_2_0': 'SpaceX'},2443968.8743542875,"{'China': 0.7769680696053973, 'France': 0.8317842440539568, 'Germany': 0.971392847279349, 'India': 0.6087622787176034, 'Israel': 0.5131339054005644, 'Japan': 0.9274861527151558, 'Russia': 0.7988825496642211, 'UAE': 0.6801719092971701, 'UK': 0.874243096758924, 'ULA': 0.6413139769329126, 'USA': 0.8562321720454613, 'SpaceX': 0.9752741435611276}",2,2018,0.8220741857983254,True,UAE,0.003881296281778579,3,0.046252030863684346,2010,False
SpaceX,{'p_4_0': 'SpaceX'},10547886.48500922,"{'China': 0.9058779135815763, 'France': 0.6994542862723562, 'Germany': 0.920208133283893, 'India': 0.313349483217105, 'Israel': 0.8646636974697434, 'Japan': 0.6586754621215049, 'Russia': 0.9460983810924796, 'UAE': 0.7013127432055872, 'UK': 0.7399952279211883, 'ULA': 0.7987496938963433, 'USA': 0.7881767978860443, 'SpaceX': 0.9922354668394487}",4,2017,0.8220741857983254,True,UAE,0.046137085746969175,2,0.046252030863684346,2010,False
SpaceX,"{'p_8_0': 'SpaceX', 'p_8_2': 'SpaceX'}",44516241.799583845,"{'China': 0.8548607765034492, 'France': 0.7590848869057554, 'Germany': 0.8318084994474044, 'India': 0.7984384978632365, 'Israel': 0.7915577979171675, 'Japan': 0.816758623375157, 'Russia': 0.7053508150119354, 'UAE': 0.7698884803621759, 'UK': 0.4610670846971674, 'ULA': 0.5953459073208401, 'USA': 0.6904806257953526, 'SpaceX': 0.9688051176529607}",8,2020,0.8220741857983254,True,UAE,0.11394434114951157,1,0.046252030863684346,2010,False
SpaceX,{'p_12_0': 'SpaceX'},16094833.75891494,"{'China': 0.8444856386210853, 'France': 0.8851208195759336, 'Germany': 0.8929425712812484, 'India': 0.8689372356149587, 'Israel': 0.6948393347116901, 'Japan': 0.7611803230472983, 'Russia': 0.974063188478769, 'UAE': 0.7202233474814579, 'UK': 0.6962802642462641, 'ULA': 0.8194340170105978, 'USA': 0.8870514839860574, 'SpaceX': 0.9810610133874811}",12,2020,0.8220741857983254,True,UAE,0.006997824908712036,2,0.046252030863684346,2010,False
SpaceX,{'p_17_0': 'SpaceX'},22263937.11477613,"{'China': 0.43489144774461086, 'France': 0.5025765756403845, 'Germany': 0.909026201467997, 'India': 0.9176063412317178, 'Israel': 0.7523627313451892, 'Japan': 0.9086749563311657, 'Russia': 0.7346513936215587, 'UAE': 0.5908375407113583, 'UK': 0.7291373583811417, 'ULA': 0.6046385319227134, 'USA': 0.7929326265525325, 'SpaceX': 0.9978203573037214}",17,2015,0.8220741857983254,True,UAE,0.08021401607200362,1,0.046252030863684346,2010,False
China,{'p_18_0': 'China'},26341610.88114842,"{'China': 0.9673699028530398, 'France': 0.9256723107562131, 'Germany': 0.7387715567003842, 'India': 0.7298345003448407, 'Israel': 0.9221213299565407, 'Japan': 0.8546494045679186, 'Russia': 0.8618494870543133, 'UAE': 0.5288452823390646, 'UK': 0.7708272151148229, 'ULA': 0.8359126356006772, 'USA': 0.9577825019592756, 'SpaceX': 0.9518862234097466}",18,2021,0.8134500297051748,True,UAE,0.009587400893764197,5,0.05487618695683494,2000,True
SpaceX,{'p_21_0': 'SpaceX'},16113825.930131841,"{'China': 0.8683240560872355, 'France': 0.5360175990790661, 'Germany': 0.757483869662048, 'India': 0.9300621478374919, 'Israel': 0.5103380237533602, 'Japan': 0.8580651857517454, 'Russia': 0.7259334798511422, 'UAE': 0.9114065343505278, 'UK': 0.5197102235465744, 'ULA': 0.9667942211356605, 'USA': 0.8848736423528688, 'SpaceX': 0.9932738109460522}",21,2014,0.8220741857983254,True,UAE,0.026479589810391668,2,0.046252030863684346,2010,False
SpaceX,{'p_22_0': 'SpaceX'},35393961.94094224,"{'China': 0.8374262970001274, 'France': 0.575734722827435, 'Germany': 0.7623487650529823, 'India': 0.7844213367151572, 'Israel': 0.7351017099695102, 'Japan': 0.8755287567115912, 'Russia': 0.5657269810829866, 'UAE': 0.7621872907486624, 'UK': 0.9832415640851989, 'ULA': 0.8134415156086369, 'USA': 0.7963508576685406, 'SpaceX': 0.993959110947814}",22,2022,0.8220741857983254,True,UAE,0.010717546862615057,2,0.046252030863684346,2010,False
SpaceX,{'p_25_0': 'SpaceX'},23172066.7033705,"{'China': 0.6861296738097801, 'France': 0.8025807304050938, 'Germany': 0.9464157090373428, 'India': 0.749553605767327, 'Israel': 0.5147312375942276, 'Japan': 0.8996818953749626, 'Russia': 0.865647505109628, 'UAE': 0.8234218440850087, 'UK': 0.7188404309111119, 'ULA': 0.7205283936295629, 'USA': 0.671536947510566, 'SpaceX': 0.9712053721706096}",25,2015,0.8220741857983254,True,UAE,0.024789663133266804,2,0.046252030863684346,2010,False
