winner,allocation,payment,scores,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_is_incumbent
SpaceX,"{'p_1_2': 'SpaceX', 'p_1_1': 'SpaceX'}",1.0791163664272632e+19,"{'China': 2.41392501178908, 'France': 2.4195171170522376, 'Germany': 2.427558201907232, 'India': 2.4210674104687055, 'Israel': 2.4063675004610907, 'Japan': 2.408988225874114, 'Russia': 2.4177148561182125, 'UAE': 2.4121462593524323, 'UK': 2.4128728005901556, 'ULA': 2.4488739281977487, 'USA': 2.402156202181167, 'SpaceX': 2.6151092223153953}",1,2020,0.9474179833413123,True,SpaceX,0.1662352941176466,1,0.0,True
ULA,{'p_2_0': 'ULA'},6.796398241548683e+18,"{'China': 2.8451099374100943, 'France': 2.850702042673252, 'Germany': 2.858743127528247, 'India': 2.8522523360897205, 'Israel': 2.8375524260821057, 'Japan': 2.840173151495129, 'Russia': 2.848899781739227, 'UAE': 2.8433311849734473, 'UK': 2.8440577262111706, 'ULA': 2.8800588538187633, 'USA': 2.833341127802182, 'SpaceX': 2.4368492619129656}",2,2017,0.6433396218697132,False,SpaceX,0.021315726290516146,11,0.30407836147159917,True
Germany,{'p_3_0': 'Germany'},8.216409458621956e+18,"{'China': 3.1036358345046335, 'France': 3.1092279397677913, 'Germany': 3.117269024622786, 'India': 3.1107782331842593, 'Israel': 3.096078323176645, 'Japan': 3.098699048589668, 'Russia': 3.107425678833766, 'UAE': 3.1018570820679865, 'UK': 3.10258362330571, 'ULA': 2.3776225912993527, 'USA': 3.091867024896721, 'SpaceX': 2.6196546768608497}",3,2016,0.6696646208242205,True,SpaceX,0.0064907914385266,10,0.2777533625170918,True
India,"{'p_7_0': 'India', 'p_7_1': 'India'}",1.349134729983996e+19,"{'China': 3.2860882718327233, 'France': 3.291680377095881, 'Germany': 2.5781671048957713, 'India': 3.293230670512349, 'Israel': 3.2785307605047347, 'Japan': 3.281151485917758, 'Russia': 3.289878116161856, 'UAE': 3.2843095193960763, 'UK': 3.2850360606337996, 'ULA': 2.506635946978059, 'USA': 3.2743194622248106, 'SpaceX': 2.7486680325395563}",7,2017,0.7213064663142137,False,SpaceX,0.0015502934164679516,9,0.22611151702709864,True
France,{'p_11_0': 'France'},1.6239433106470652e+19,"{'China': 3.425948187565385, 'France': 3.431540292828543, 'Germany': 2.677062999726515, 'India': 2.5802531893278546, 'Israel': 3.4183906762373963, 'Japan': 3.4210114016504196, 'Russia': 3.4297380318945176, 'UAE': 3.424169435128738, 'UK': 3.4248959763664613, 'ULA': 2.6055318418088027, 'USA': 3.4141793779574723, 'SpaceX': 2.8475639273702997}",11,2018,0.575538597456634,True,SpaceX,0.001802260934025135,8,0.3718793858846783,True
Russia,{'p_14_0': 'Russia'},8.760388738432955e+18,"{'China': 3.538733457832601, 'France': 2.749504152009517, 'Germany': 2.7568142291504207, 'India': 2.66000441875176, 'Israel': 3.531175946504612, 'Japan': 3.5337966719176355, 'Russia': 3.5425233021617335, 'UAE': 3.536954705395954, 'UK': 3.537681246633677, 'ULA': 2.6852830712327087, 'USA': 3.5269646482246886, 'SpaceX': 2.9273151567942057}",14,2024,0.6691759060280565,False,SpaceX,0.0037898443291326522,7,0.2782420773132558,True
China,{'p_15_0': 'China'},1.1129853087195214e+19,"{'China': 3.63286956267545, 'France': 2.816068430098383, 'Germany': 2.823378507239288, 'India': 2.7265686968406273, 'Israel': 3.6253120513474615, 'Japan': 3.6279327767604848, 'Russia': 2.7235209201583603, 'UAE': 3.631090810238803, 'UK': 3.6318173514765264, 'ULA': 2.7518473493215754, 'USA': 3.6211007530675374, 'SpaceX': 2.9938794348830724}",15,2018,0.6966244963664098,False,SpaceX,0.001052211198923736,6,0.25079348697490256,True
UK,"{'p_18_1': 'UK', 'p_18_0': 'UK'}",1.604189623965747e+19,"{'China': 2.7770357747306686, 'France': 2.873028597697176, 'Germany': 2.8803386748380797, 'India': 2.783528864439419, 'Israel': 3.705865892880718, 'Japan': 3.7084866182937413, 'Russia': 2.7804810877571526, 'UAE': 3.7116446517720596, 'UK': 3.712371193009783, 'ULA': 2.8088075169203677, 'USA': 3.701654594600794, 'SpaceX': 3.0508396024818647}",18,2022,0.8150116957582139,True,SpaceX,0.0007265412377233105,5,0.13240628758309847,True
UAE,{'p_24_0': 'UAE'},6.093182920391891e+18,"{'China': 2.8267076530836057, 'France': 2.922700476050113, 'Germany': 2.9300105531910168, 'India': 2.8332007427923562, 'Israel': 3.7761125369159885, 'Japan': 3.7787332623290117, 'Russia': 2.8301529661100897, 'UAE': 3.78189129580733, 'UK': 2.9166601883573113, 'ULA': 2.8584793952733047, 'USA': 3.7719012386360644, 'SpaceX': 3.1005114808348018}",24,2023,0.8450644872980295,True,SpaceX,0.003158033478318334,4,0.10235349604328281,True
Japan,"{'p_26_0': 'Japan', 'p_26_1': 'Japan'}",27414341805474.953,"{'China': 2.8706709739643315, 'France': 2.9666637969308383, 'Germany': 2.973973874071743, 'India': 2.8771640636730824, 'Israel': 3.8382860615524708, 'Japan': 3.840906786965494, 'Russia': 2.8741162869908154, 'UAE': 2.959963017203743, 'UK': 2.960623509238037, 'ULA': 2.9024427161540305, 'USA': 3.8340747632725467, 'SpaceX': 3.1444748017155275}",26,2012,0.5903638008013787,True,SpaceX,0.0026207254130232727,3,0.3570541825399336,True
Israel,{'p_28_0': 'Israel'},2.0233121313765855e+19,"{'China': 2.910049434068974, 'France': 3.006042257035481, 'Germany': 3.0133523341763855, 'India': 2.916542523777725, 'Israel': 3.8939756138978243, 'Japan': 2.996470537782642, 'Russia': 2.913494747095458, 'UAE': 2.9993414773083855, 'UK': 3.0000019693426796, 'ULA': 2.941821176258673, 'USA': 3.8897643156179003, 'SpaceX': 3.18385326182017}",28,2021,0.6781725169436913,True,SpaceX,0.004211298279924058,2,0.26924546639762104,True
USA,{'p_30_0': 'USA'},6.47812455017847e+18,"{'China': 2.945669598038173, 'France': 3.0416624210046797, 'Germany': 3.0489724981455844, 'India': 2.952162687746924, 'Israel': 3.0297082241036373, 'Japan': 3.032090701751841, 'Russia': 2.949114911064657, 'UAE': 3.0349616412775844, 'UK': 3.0356221333118785, 'ULA': 2.977441340227872, 'USA': 3.9401388345970947, 'SpaceX': 3.219473425789369}",30,2017,0.7534756519314919,True,SpaceX,0.7206654088077258,1,0.19394233140982042,True
SpaceX,"{'p_44_0': 'SpaceX', 'p_44_1': 'SpaceX'}",110912006952416.5,"{'China': 2.978156404153914, 'France': 3.0741492271204214, 'Germany': 3.081459304261325, 'India': 2.9846494938626646, 'Israel': 3.062195030219379, 'Japan': 3.0645775078675817, 'Russia': 2.981601717180398, 'UAE': 3.0674484473933257, 'UK': 3.0681089394276198, 'ULA': 3.009928146343613, 'USA': 3.05836657723763, 'SpaceX': 3.25196023190511}",44,2013,0.9474179833413123,True,SpaceX,0.170500927643785,1,0.0,True
Germany,"{'p_47_1': 'Germany', 'p_47_0': 'Germany'}",17520456417305.984,"{'China': 3.007993311121594, 'France': 3.1039861340881014, 'Germany': 3.1112962112290052, 'India': 3.0144864008303447, 'Israel': 3.092031937187059, 'Japan': 3.0944144148352617, 'Russia': 3.011438624148078, 'UAE': 3.0972853543610057, 'UK': 3.0979458463953, 'ULA': 3.039765053311293, 'USA': 3.08820348420531, 'SpaceX': 2.8585263765448943}",47,2012,0.6696646208242205,True,SpaceX,0.0073100771409038146,11,0.2777533625170918,True
France,{'p_48_0': 'France'},5.198054557329358e+18,"{'China': 3.035561671825208, 'France': 3.1315544947917147, 'Germany': 2.7247433317943743, 'India': 3.042054761533959, 'Israel': 3.1196002978906723, 'Japan': 3.121982775538876, 'Russia': 3.039006984851692, 'UAE': 3.1248537150646194, 'UK': 3.1255142070989135, 'ULA': 3.067333414014907, 'USA': 3.115771844908924, 'SpaceX': 2.881035848801177}",48,2014,0.575538597456634,True,SpaceX,0.006040287692801183,10,0.3718793858846783,True
UK,"{'p_51_1': 'UK', 'p_51_0': 'UK'}",6.25052063412619e+18,"{'China': 3.0611673635296923, 'France': 2.738949387477547, 'Germany': 2.7456502915233756, 'India': 3.0676604532384433, 'Israel': 3.1452059895951567, 'Japan': 3.1475884672433603, 'Russia': 3.0646126765561763, 'UAE': 3.150459406769104, 'UK': 3.151119898803398, 'ULA': 3.0929391057193913, 'USA': 3.1413775366134082, 'SpaceX': 2.9019428085301784}",51,2015,0.8150116957582139,True,SpaceX,0.0006604920342940801,9,0.13240628758309847,True
UAE,"{'p_52_1': 'UAE', 'p_52_0': 'UAE'}",1.2722095203080397e+19,"{'China': 3.0850593087556772, 'France': 2.7584570790662757, 'Germany': 2.765157983112105, 'India': 3.0915523984644278, 'Israel': 3.169097934821142, 'Japan': 3.1714804124693448, 'Russia': 3.0885046217821612, 'UAE': 3.1743513519950888, 'UK': 2.752920148681208, 'ULA': 3.1168310509453763, 'USA': 3.165269481839393, 'SpaceX': 2.9214505001189073}",52,2016,0.8450644872980295,True,SpaceX,0.0028709395257440207,8,0.10235349604328281,True
Japan,{'p_60_0': 'Japan'},3.842936655375452e+18,"{'China': 3.1074426710790464, 'France': 2.7767330178729734, 'Germany': 2.7834339219188022, 'India': 3.113935760787797, 'Israel': 3.1914812971445112, 'Japan': 3.193863774792714, 'Russia': 3.1108879841055304, 'UAE': 2.770590636456469, 'UK': 2.7711960874879056, 'ULA': 3.1392144132687454, 'USA': 3.1876528441627623, 'SpaceX': 2.939726438925605}",60,2015,0.5903638008013787,True,SpaceX,0.002382477648202652,7,0.3570541825399336,True
Israel,{'p_61_0': 'Israel'},4.82322990901464e+18,"{'China': 3.128488457475075, 'France': 2.793916830508266, 'Germany': 2.800617734554095, 'India': 3.134981547183826, 'Israel': 3.2125270835405395, 'Japan': 2.7851427545264964, 'Russia': 3.131933770501559, 'UAE': 2.7877744490917618, 'UK': 2.7883799001231977, 'ULA': 3.160260199664774, 'USA': 3.208698630558791, 'SpaceX': 2.9569102515608976}",61,2022,0.6781725169436913,True,SpaceX,0.003828452981748498,6,0.26924546639762104,True
USA,"{'p_66_1': 'USA', 'p_66_3': 'USA'}",1.1620606102636483e+19,"{'China': 3.1483406370564295, 'France': 2.810126067260405, 'Germany': 2.816826971306234, 'India': 3.1548337267651805, 'Israel': 2.7991680534344496, 'Japan': 2.8013519912786355, 'Russia': 3.1517859500829135, 'UAE': 2.803983685843901, 'UK': 2.804589136875337, 'ULA': 3.1801123792461286, 'USA': 3.2285508101401454, 'SpaceX': 2.9731194883130367}",66,2021,0.7534756519314919,False,SpaceX,0.04843843089401689,5,0.19394233140982042,True
ULA,{'p_67_0': 'ULA'},11336605408177.59,"{'China': 3.1671215066027787, 'France': 2.825460583031849, 'Germany': 2.832161487077678, 'India': 3.1736145963115296, 'Israel': 2.8145025692058936, 'Japan': 2.8166865070500795, 'Russia': 3.1705668196292627, 'UAE': 2.819318201615345, 'UK': 2.819923652646781, 'ULA': 3.1988932487924777, 'USA': 2.7276598206392904, 'SpaceX': 2.9884540040844807}",67,2012,0.6433396218697132,True,SpaceX,0.02527865248094807,4,0.30407836147159917,True
India,{'p_74_0': 'India'},1.0268249547306076e+19,"{'China': 3.1849357949566035, 'France': 2.8400058885644075, 'Germany': 2.8467067926102363, 'India': 3.1914288846653545, 'Israel': 2.829047874738452, 'Japan': 2.831231812582638, 'Russia': 3.1883811079830875, 'UAE': 2.8338635071479032, 'UK': 2.834468958179339, 'ULA': 2.781136564519, 'USA': 2.7422051261718488, 'SpaceX': 3.002999309617039}",74,2017,0.7213064663142137,True,SpaceX,0.003047776682266967,3,0.22611151702709864,True
Russia,"{'p_77_2': 'Russia', 'p_77_0': 'Russia'}",1.294994472988733e+19,"{'China': 3.201873844805819, 'France': 2.8538357483538754, 'Germany': 2.8605366523997042, 'India': 2.771794326200932, 'Israel': 2.84287773452792, 'Japan': 2.845061672372106, 'Russia': 3.205319157832303, 'UAE': 2.847693366937371, 'UK': 2.848298817968807, 'ULA': 2.794966424308468, 'USA': 2.7560349859613167, 'SpaceX': 3.016829169406507}",77,2024,0.6691759060280565,True,SpaceX,0.003445313026483987,2,0.2782420773132558,True
China,{'p_80_0': 'China'},3.623678401136551e+18,"{'China': 3.2180141091532977, 'France': 2.8670142190088614, 'Germany': 2.8737151230546902, 'India': 2.784972796855918, 'Israel': 2.856056205182906, 'Japan': 2.858240143027092, 'Russia': 2.7821790015638403, 'UAE': 2.860871837592357, 'UK': 2.861477288623793, 'ULA': 2.808144894963454, 'USA': 2.7692134566163027, 'SpaceX': 3.030007640061493}",80,2014,0.6966244963664098,False,SpaceX,0.18800646909180463,1,0.25079348697490256,True
SpaceX,{'p_81_0': 'SpaceX'},6.087696753687697e+18,"{'China': 2.7082705118129082, 'France': 2.879597266198873, 'Germany': 2.886298170244702, 'India': 2.7975558440459296, 'Israel': 2.8686392523729176, 'Japan': 2.8708231902171035, 'Russia': 2.794762048753852, 'UAE': 2.873454884782369, 'UK': 2.874060335813805, 'ULA': 2.8207279421534657, 'USA': 2.7817965038063144, 'SpaceX': 3.0425906872515047}",81,2020,0.9474179833413123,True,SpaceX,0.1562925170068028,1,0.0,True
Germany,{'p_84_0': 'Germany'},5.726505207319082e+18,"{'China': 2.720307305831147, 'France': 2.891634060217112, 'Germany': 2.898334964262941, 'India': 2.8095926380641685, 'Israel': 2.8806760463911565, 'Japan': 2.8828599842353424, 'Russia': 2.806798842772091, 'UAE': 2.8854916788006078, 'UK': 2.8860971298320437, 'ULA': 2.8327647361717045, 'USA': 2.7938332978245533, 'SpaceX': 2.7769824474560467}",84,2023,0.6696646208242205,True,SpaceX,0.006700904045828793,11,0.2777533625170918,True
France,"{'p_87_1': 'France', 'p_87_0': 'France'}",4.818384148945441e+18,"{'China': 2.731841269221719, 'France': 2.903168023607684, 'Germany': 2.6427011370600146, 'India': 2.8211266014547403, 'Israel': 2.8922100097817283, 'Japan': 2.894393947625914, 'Russia': 2.8183328061626627, 'UAE': 2.8970256421911795, 'UK': 2.8976310932226155, 'ULA': 2.8442986995622763, 'USA': 2.805367261215125, 'SpaceX': 2.7869711527586016}",87,2025,0.575538597456634,False,SpaceX,0.005536930385068306,10,0.3718793858846783,True
UK,{'p_91_0': 'UK'},6.265748308810136e+18,"{'China': 2.7429109311049737, 'France': 2.569179218650683, 'Germany': 2.6522877454622176, 'India': 2.832196263337995, 'Israel': 2.903279671664983, 'Japan': 2.905463609509169, 'Russia': 2.8294024680459176, 'UAE': 2.9080953040744344, 'UK': 2.9087007551058703, 'ULA': 2.855368361445531, 'USA': 2.81643692309838, 'SpaceX': 2.7965577611608046}",91,2025,0.8150116957582139,False,SpaceX,0.000605451031435944,9,0.13240628758309847,True
UAE,{'p_97_0': 'UAE'},9.28966627580041e+18,"{'China': 2.753550629322795, 'France': 2.578393467595917, 'Germany': 2.661501994407451, 'India': 2.8428359615558163, 'Israel': 2.9139193698828043, 'Japan': 2.9161033077269902, 'Russia': 2.8400421662637387, 'UAE': 2.9187350022922556, 'UK': 2.5732824549327766, 'ULA': 2.8660080596633524, 'USA': 2.827076621316201, 'SpaceX': 2.805772010106038}",97,2015,0.8450644872980295,True,SpaceX,0.0026316945652653523,8,0.10235349604328281,True
Japan,"{'p_98_0': 'Japan', 'p_98_1': 'Japan'}",1.2899164435610638e+19,"{'China': 2.7637910916953907, 'France': 2.587261968157083, 'Germany': 2.6703704949686173, 'India': 2.853076423928412, 'Israel': 2.9241598322554, 'Japan': 2.926343770099586, 'Russia': 2.8502826286363345, 'UAE': 2.6585151545418486, 'UK': 2.5821509554939435, 'ULA': 2.876248522035948, 'USA': 2.837317083688797, 'SpaceX': 2.8146405106672048}",98,2020,0.5903638008013787,True,SpaceX,0.0021839378441859125,7,0.3570541825399336,True
Israel,{'p_99_0': 'Israel'},5.199759264914284e+18,"{'China': 2.7736599204427073, 'France': 2.595808624557857, 'Germany': 2.6789171513693915, 'India': 2.8629452526757286, 'Israel': 2.9340286610027166, 'Japan': 2.664632554420839, 'Russia': 2.860151457383651, 'UAE': 2.6670618109426227, 'UK': 2.5906976118947176, 'ULA': 2.8861173507832647, 'USA': 2.8471859124361134, 'SpaceX': 2.8231871670679785}",99,2019,0.6781725169436913,True,SpaceX,0.04791131021945194,6,0.26924546639762104,True
ULA,{},0.0,"{'China': 2.7831819984339172, 'France': 2.6040549859950617, 'Germany': 2.6871635128065963, 'India': 2.8724673306669386, 'Israel': 2.670862973232641, 'Japan': 2.672878915858044, 'Russia': 2.869673535374861, 'UAE': 2.675308172379827, 'UK': 2.598943973331922, 'ULA': 2.8956394287744747, 'USA': 2.8567079904273234, 'SpaceX': 2.8314335285051833}",102,2022,0.6433396218697132,True,SpaceX,0.023172098107536065,6,0.30407836147159917,True
India,{'p_105_0': 'India'},1.5397484386351724e+18,"{'China': 2.79237983187346, 'France': 2.6120205434134838, 'Germany': 2.6951290702250184, 'India': 2.881665164106481, 'Israel': 2.6788285306510633, 'Japan': 2.680844473276466, 'Russia': 2.8788713688144036, 'UAE': 2.683273729798249, 'UK': 2.606909530750344, 'ULA': 2.6346027058331076, 'USA': 2.865905823866866, 'SpaceX': 2.8393990859236053}",105,2016,0.7213064663142137,True,SpaceX,0.002793795292077572,5,0.22611151702709864,True
Russia,"{'p_111_0': 'Russia', 'p_111_1': 'Russia'}",1.207226824729423e+19,"{'China': 2.801273840951749, 'France': 2.6197229812167713, 'Germany': 2.7028315080283054, 'India': 2.6209155146140546, 'Israel': 2.686530968454351, 'Japan': 2.6885469110797535, 'Russia': 2.8877653778926926, 'UAE': 2.6909761676015367, 'UK': 2.6146119685536315, 'ULA': 2.642305143636395, 'USA': 2.874799832945155, 'SpaceX': 2.847101523726893}",111,2014,0.6691759060280565,True,SpaceX,0.012965544947537655,4,0.2782420773132558,True
USA,{},0.0,"{'China': 2.8098826076274546, 'France': 2.6271783918531852, 'Germany': 2.71028691866472, 'India': 2.6283709252504686, 'Israel': 2.6939863790907648, 'Japan': 2.6960023217161675, 'Russia': 2.6257920372885506, 'UAE': 2.698431578237951, 'UK': 2.622067379190046, 'ULA': 2.6497605542728095, 'USA': 2.8834085996208607, 'SpaceX': 2.854556934363307}",112,2020,0.7534756519314919,True,SpaceX,0.028851665257553893,3,0.19394233140982042,True
SpaceX,{'p_115_0': 'SpaceX'},1.3344550272973105e+18,"{'China': 2.81822308788297, 'France': 2.6344014596342245, 'Germany': 2.7175099864457586, 'India': 2.6355939930315073, 'Israel': 2.701209446871804, 'Japan': 2.7032253894972063, 'Russia': 2.6330151050695894, 'UAE': 2.7056546460189894, 'UK': 2.6292904469710843, 'ULA': 2.656983622053848, 'USA': 2.621046909733401, 'SpaceX': 2.8617800021443456}",115,2021,0.9474179833413123,True,SpaceX,0.043556914261375645,2,0.0,True
China,{'p_118_0': 'China'},1.2951373433254973e+18,"{'China': 2.8263107943724184, 'France': 2.641405618912439, 'Germany': 2.7245141457239734, 'India': 2.6425981523097217, 'Israel': 2.7082136061500184, 'Japan': 2.710229548775421, 'Russia': 2.640019264347804, 'UAE': 2.7126588052972043, 'UK': 2.636294606249299, 'ULA': 2.6639877813320627, 'USA': 2.6280510690116152, 'SpaceX': 2.6701781281797174}",118,2021,0.6966244963664098,True,SpaceX,0.10179664864844495,5,0.25079348697490256,True
